Fecha,Pronostico,Limite_Inferior,Limite_Superior
2017-01-16,8.583145026862734,8.283048326052649,8.88324172767282
2017-01-23,8.547904771378311,8.247808070568226,8.848001472188397
2017-01-30,8.543748348142682,8.243651647332596,8.843845048952767
2017-02-06,8.537995649216514,8.237898948406428,8.8380923500266
2017-02-13,8.43388542930617,8.133788728496084,8.733982130116255
2017-02-20,8.449588201230716,8.14949150042063,8.749684902040801
2017-02-27,8.386203497249252,8.086106796439166,8.686300198059337
2017-03-06,8.486860145351617,8.186763444541532,8.786956846161702
2017-03-13,8.570453897464914,8.270357196654828,8.870550598274999
2017-03-20,8.706239812167988,8.406143111357903,9.006336512978073
2017-03-27,8.64213766642475,8.342040965614665,8.942234367234835
2017-04-03,8.630196580368905,8.33009987955882,8.93029328117899
2017-04-10,8.584259033060604,8.284162332250519,8.88435573387069
2017-04-17,8.48692484894855,8.186828148138465,8.787021549758636
2017-04-24,8.54033731326307,8.240240612452984,8.840434014073155
2017-05-01,8.6108040446798,8.310707343869714,8.910900745489885
2017-05-08,8.768104762184512,8.468008061374427,9.068201462994598
2017-05-15,8.583706960733057,8.283610259922972,8.883803661543142
2017-05-22,8.64226105892482,8.342164358114735,8.942357759734906
2017-05-29,8.442657182416683,8.142560481606598,8.742753883226769
2017-06-05,8.535790650302848,8.235693949492763,8.835887351112934
2017-06-12,8.55390422957313,8.253807528763044,8.854000930383215
2017-06-19,8.427748366994315,8.12765166618423,8.7278450678044
2017-06-26,8.543511467498675,8.24341476668859,8.84360816830876
2017-07-03,8.780613512181125,8.48051681137104,9.08071021299121
2017-07-10,8.483634743027396,8.183538042217311,8.783731443837482
2017-07-17,8.600065968572174,8.299969267762089,8.90016266938226
2017-07-24,8.586777487088627,8.286680786278541,8.886874187898712
2017-07-31,8.750247947758409,8.450151246948323,9.050344648568494
2017-08-07,8.545465612286405,8.24536891147632,8.84556231309649
2017-08-14,8.536030818789376,8.23593411797929,8.836127519599462
2017-08-21,8.63691258384379,8.336815883033704,8.937009284653875
2017-08-28,8.465059410306639,8.164962709496553,8.765156111116724
2017-09-04,8.614540116153801,8.314443415343716,8.914636816963887
2017-09-11,8.487832893214847,8.187736192404762,8.787929594024932
2017-09-18,8.36055318069678,8.060456479886694,8.660649881506865
2017-09-25,8.495995870723938,8.195899169913853,8.796092571534023
2017-10-02,8.63607920711561,8.335982506305525,8.936175907925696
2017-10-09,8.619973940547956,8.31987723973787,8.920070641358041
2017-10-16,8.550323538182754,8.250226837372669,8.85042023899284
2017-10-23,8.507799124726583,8.207702423916498,8.807895825536669
2017-10-30,8.516348261347952,8.216251560537867,8.816444962158037
2017-11-06,8.473938022263201,8.173841321453116,8.774034723073287
2017-11-13,8.495951506526012,8.195854805715927,8.796048207336097
2017-11-20,8.531240224682472,8.231143523872387,8.831336925492558
2017-11-27,8.500859532910154,8.200762832100068,8.800956233720239
2017-12-04,8.620118764568135,8.32002206375805,8.92021546537822
2017-12-11,8.570040654625618,8.269943953815533,8.870137355435704
2017-12-18,8.5208941011804,8.220797400370314,8.820990801990485
2017-12-25,8.666238283912465,8.36614158310238,8.96633498472255
2018-01-01,8.89872135442423,8.598624653614145,9.198818055234316
2018-01-08,8.680500669755318,8.380403968945233,8.980597370565404
2018-01-15,8.586807279903697,8.244618553038764,8.92899600676863
2018-01-22,8.544735329112159,8.202546602247226,8.886924055977092
2018-01-29,8.513186164173195,8.170997437308262,8.855374891038128
2018-02-05,8.550240493637677,8.208051766772744,8.89242922050261
2018-02-12,8.377685252067312,8.03549652520238,8.719873978932245
2018-02-19,8.423888653754856,8.081699926889923,8.76607738061979
2018-02-26,8.376906254044837,8.034717527179904,8.71909498090977
2018-03-05,8.499361158677235,8.157172431812302,8.841549885542168
2018-03-12,8.522764554833811,8.180575827968878,8.864953281698744
2018-03-19,8.772044654678147,8.429855927813215,9.11423338154308
2018-03-26,8.599442637570334,8.257253910705401,8.941631364435267
2018-04-02,8.603652586062928,8.261463859197995,8.945841312927861
2018-04-09,8.61751678740504,8.275328060540106,8.959705514269972
2018-04-16,8.506776604036688,8.164587877171755,8.84896533090162
2018-04-23,8.534400644184515,8.192211917319582,8.876589371049448
2018-04-30,8.554867353264486,8.212678626399553,8.897056080129419
2018-05-07,8.830404236382051,8.488215509517119,9.172592963246984
2018-05-14,8.6372602638172,8.295071536952268,8.979448990682133
2018-05-21,8.641140315395871,8.298951588530938,8.983329042260804
2018-05-28,8.415589301547287,8.073400574682355,8.75777802841222
2018-06-04,8.556841135331194,8.21465240846626,8.899029862196127
2018-06-11,8.539153229733621,8.196964502868688,8.881341956598554
2018-06-18,8.4267424245666,8.084553697701667,8.768931151431532
2018-06-25,8.534714157025554,8.192525430160622,8.876902883890487
2018-07-02,8.76547176292594,8.423283036061008,9.107660489790874
2018-07-09,8.50485027957554,8.162661552710608,8.847039006440474
2018-07-16,8.581894980465282,8.23970625360035,8.924083707330215
2018-07-23,8.605757063066266,8.263568336201333,8.947945789931198
2018-07-30,8.75391873460216,8.411730007737226,9.096107461467092
2018-08-06,8.58412692419154,8.241938197326608,8.926315651056473
2018-08-13,8.576389417569931,8.234200690704998,8.918578144434864
2018-08-20,8.619227420070112,8.27703869320518,8.961416146935045
2018-08-27,8.439434689491318,8.097245962626385,8.78162341635625
2018-09-03,8.591857129753608,8.249668402888675,8.93404585661854
2018-09-10,8.453018322067184,8.11082959520225,8.795207048932117
2018-09-17,8.412690396423006,8.070501669558073,8.754879123287939
2018-09-24,8.510328846396458,8.168140119531525,8.852517573261391
